symbol,y,x1,x2,x3,x4,underwriter,exchange
XOOM,1.045,1.312,132825,0.199,0.142,17-57,1
YDLE,1.062,1.350,101250,0.221,0.158,1-2-8,1
YECO,1.021,1.000,14062,0.190,0.055,16-58-59-60,1
YNDX,1.429,1.400,1826093,0.404,0.158,2-7-21,1
YY,1.094,1.000,81900,1.000,0.064,7-18-21,1
Z,1.000,3.000,207720,0.199,0.075,18,1
ZFGN,1.050,1.250,120000,0.275,0.071,41-56,1
ZGNX,1.070,1.250,70000,0.417,0.006,37-56,1
ZLTQ,1.045,1.105,100590,0.214,0.000,2-19,1
ZNGA,1.045,1.100,1100000,1.000,0.139,2-7,1
ZSAN,1.020,1.105,54720,0.381,0.022,14-43-96,1
ZSPH,1.023,1.512,161748,0.301,0.133,1-19,1
ZU,1.059,1.773,448500,1.000,0.152,2-8-18,1
AAC,1.005,1.333,100000,0.242,0.061,6-37-38,2
AAT,1.022,1.050,592075,0.785,0.050,7-8-37,2
ACRE,1.011,0.973,138600,0.834,0.080,8-18-19-37,2
ADPT,1.039,1.144,123284,0.523,0.162,2-21,2
AGRO,1.070,0.977,307142,0.247,0.102,1-7-22,2
AHH,1.005,1.006,191194,0.990,0.000,26-38-39,2
AJX,1.000,1.000,71250,0.334,0.078,49-117-120,2
AL,1.008,1.028,825212,0.323,0.114,1-19,2
ALLY,1.022,0.970,2303750,0.197,0.046,2-7-17-18-19,2
ALSN,1.007,1.000,600300,0.144,0.117,8-18-19,2
AM,1.009,1.220,1220000,0.527,0.148,17-18-37,2
AMBR,1.023,1.346,129352,0.298,0.106,26,2
AMC,1.027,1.066,353315,0.974,0.107,8-18,2
AMH,1.026,0.974,687794,0.248,0.071,2-8-19-37-120,2
AMID,1.016,1.000,78750,0.829,0.099,8-18,2
AMRC,1.063,1.025,89142,0.388,0.036,8,2
AMTG,1.005,0.950,190000,0.974,0.111,1-7-19,2
ANET,1.053,1.285,290062,0.083,0.218,7-18,2
ANFI,1.009,1.000,90000,0.252,0.181,21-32,2
APAM,1.031,1.173,389106,1.000,0.132,2-18,2
