symbol,date,underwriter
SYA,20100122,goldman sachs
SYA,20100122,bofa merrill lynch
SYA,20100122,barclays
SYA,20100122,jp morgan
SYF,20140731,goldman sachs
SYF,20140731,morgan stanley
SYF,20140731,citigroup
SYF,20140731,jp morgan
TAOM,20110609,credit suisse
TAOM,20110609,deutsche bank
TCPI,20140626,piper jaffray
TCPI,20140626,deutsche bank
TCS,20131101,credit suisse
TCS,20131101,barclays
TCS,20131101,jp morgan
TDOC,20150701,jp morgan
TDOC,20150701,deutsche bank
TEGP,20150507,goldman sachs
TEGP,20150507,citigroup
TEP,20130514,bofa merrill lynch
TEP,20130514,barclays
TEP,20130514,citigroup
TEP,20130514,deutsche bank
TEU,20110414,morgan stanley
TEU,20110414,ubs
THR,20110505,jefferies
THR,20110505,barclays
TLLP,20110420,credit suisse
TLLP,20110420,bofa merrill lynch
TLLP,20110420,citigroup
TLLP,20110420,wells fargo
TLYS,20120504,goldman sachs
TLYS,20120504,piper jaffray
TLYS,20120504,bofa merrill lynch
TMHC,20130410,credit suisse
TMHC,20130410,citigroup
TNET,20140327,morgan stanley
TNET,20140327,jp morgan
TNET,20140327,deutsche bank
TOWR,20101015,goldman sachs
TOWR,20101015,citigroup
TOWR,20101015,jp morgan
TPH,20130131,citigroup
TPH,20130131,deutsche bank
TPH,20130131,fbr
TPRE,20130815,credit suisse
TPRE,20130815,morgan stanley
TPRE,20130815,jp morgan
TRGP,20101207,morgan stanley
TRGP,20101207,bofa merrill lynch
TRGP,20101207,barclays
TRMR,20130627,credit suisse
TRMR,20130627,jefferies
TRNO,20100210,goldman sachs
TRU,20150625,goldman sachs
TRU,20150625,bofa merrill lynch
TRU,20150625,jp morgan
TRU,20150625,deutsche bank
TRUP,20140718,rbc
TRUP,20140718,barclays
TRUP,20140718,stifel nicolaus
TSE,20140612,goldman sachs
TSE,20140612,morgan stanley
TSE,20140612,citigroup
TSE,20140612,deutsche bank
TSQ,20140724,jefferies
TSQ,20140724,bofa merrill lynch
TSQ,20140724,rbc
TUMI,20120419,credit suisse
TUMI,20120419,goldman sachs
TUMI,20120419,jp morgan
TVPT,20140925,credit suisse
TVPT,20140925,morgan stanley
TVPT,20140925,deutsche bank
TVPT,20140925,ubs
TWTR,20131107,goldman sachs
TWTR,20131107,morgan stanley
TWTR,20131107,jp morgan
TXTR,20130607,credit suisse
TXTR,20130607,william blair
UAN,20110408,goldman sachs
UAN,20110408,morgan stanley
UAN,20110408,barclays
UCP,20130718,citigroup
UCP,20130718,deutsche bank
UCP,20130718,zelman
UNVR,20150618,goldman sachs
UNVR,20150618,bofa merrill lynch
UNVR,20150618,deutsche bank
USAC,20130115,goldman sachs
USAC,20130115,barclays
USAC,20130115,jp morgan
USAC,20130115,wells fargo
USDP,20141009,credit suisse
USDP,20141009,bofa merrill lynch
USDP,20141009,barclays
USDP,20141009,citigroup
VCRA,20120328,piper jaffray
VCRA,20120328,jp morgan
VEEV,20131016,morgan stanley
VEEV,20131016,deutsche bank
VIPS,20120323,deutsche bank
VIPS,20120323,goldman sachs (asia)
VJET,20131018,piper jaffray
VJET,20131018,citigroup
VLP,20131211,barclays
VLP,20131211,jp morgan
VLRS,20130918,morgan stanley
VLRS,20130918,deutsche bank
VLRS,20130918,ubs
VLRS,20130918,santander
VMEM,20130927,bofa merrill lynch
VMEM,20130927,jp morgan
VMEM,20130927,deutsche bank
VNCE,20131122,goldman sachs
VNCE,20131122,robert w baird
VOC,20110505,morgan stanley
VOC,20110505,raymond james
VOYA,20130502,goldman sachs
VOYA,20130502,morgan stanley
VOYA,20130502,citigroup
VSLR,20141001,credit suisse
VSLR,20141001,goldman sachs
