symbol,y,x1,x2,x3,x4,underwriter,exchange,t10,p30,t30,p1h,t1h,p1d,t1d
MTLS,1.000,1.000,96000,1.000,0.204,1-4,1,0,1.000,0,1.000,0,1.000,0
MTSI,1.105,1.005,114600,0.133,0.127,3-17-19,1,10,1.105,10,1.105,10,1.105,10
NCLH,1.016,1.321,590588,0.117,0.161,17-32,2,0,1.016,0,1.016,0,1.016,0
NCOM,1.067,1.079,35785,0.185,0.045,35,1,0,1.067,0,1.067,0,1.067,0
NDLS,1.178,1.778,171428,0.240,0.259,7-8-32,1,0,1.178,0,1.178,0,1.241,280
NDRM,1.000,0.945,42525,0.265,0.065,3-41,1,0,1.000,0,1.000,0,1.000,0
NEOS,1.015,1.215,87456,0.331,0.103,10-31-32,1,0,1.031,19,1.059,38,1.097,126
NERV,1.063,1.000,32727,0.298,0.077,3,1,6,1.063,6,1.063,6,1.063,6
NK,1.100,1.480,306656,0.105,0.135,3-4-8-18,1,0,1.100,0,1.100,0,1.100,0
NLNK,1.116,1.000,43400,0.301,0.024,11-26,1,2,1.116,2,1.116,2,1.116,2
NMIH,1.032,1.204,701349,0.900,0.002,,1,0,1.032,0,1.036,46,1.036,46
NRX,1.073,1.010,37572,0.350,0.019,69,1,0,1.073,0,1.073,0,1.073,0
NSTG,1.022,0.881,47574,0.370,0.000,7-19,1,7,1.022,7,1.022,7,1.022,7
NTEC,1.002,1.000,30150,0.497,0.005,13-14,1,0,1.002,0,1.002,0,1.003,357
NTRA,1.056,1.228,221000,0.206,0.189,4-7-41,1,7,1.056,7,1.056,7,1.102,120
NVET,1.039,0.912,36480,0.361,0.029,8-41,1,0,1.039,0,1.039,0,1.039,0
NVLS,1.057,1.179,90750,0.376,0.069,26-41,1,3,1.082,16,1.082,16,1.082,16
